Model,Cost,Timestamp,Real Cost,User
gpt-4-1106-preview,0.01053,2024-01-05 02:15:14.220264,,
apify,0.0046854805206971,2024-01-05 02:20:19.769939,,
gpt-4-1106-preview,0.01286,2024-01-05 02:20:36.505528,,
dall-e-3,0.04,2024-01-05 02:22:16.483952,,
gpt-4-1106-preview,0.01586,2024-01-05 02:33:09.222565,,
apify,0.008803873035252,2024-01-05 02:49:05.080809,,
dall-e-3,0.04,2024-01-05 02:49:25.624598,,
apify,0.0093459543310569,2024-01-05 02:51:23.808184,,
dall-e-3,0.04,2024-01-05 02:51:47.731929,,
gpt-4-1106-preview,0.00378,2024-01-05 02:51:56.135781,,
gpt-4-1106-preview,0.0048,2024-01-05 02:52:19.199737,,
gpt-4-1106-preview,0.00366,2024-01-05 02:52:39.653867,,
gpt-4-1106-preview,0.02218,2024-01-05 02:52:56.129091,,
apify,0.0073201424388223,2024-01-05 02:58:50.395334,,
dall-e-3,0.04,2024-01-05 02:59:13.928394,,
gpt-4-1106-preview,0.01929,2024-01-05 02:59:35.662581,,
apify,0.0091774561099823,2024-01-05 03:11:30.929302,,
dall-e-3,0.04,2024-01-05 03:11:51.686667,,
gpt-4-1106-preview,0.01248,2024-01-05 03:12:03.045707,,
gpt-4-1106-preview,0.0132199999999999,2024-01-05 03:16:36.477918,,
gpt-4-1106-preview,0.0156199999999999,2024-01-05 03:18:22.929027,,
gpt-4-1106-preview,0.01189,2024-01-05 03:22:47.694917,,
dall-e-3,0.04,2024-01-05 03:26:17.859273,,
gpt-4-1106-preview,0.01872,2024-01-05 03:26:28.761139,,
dall-e-3,0.04,2024-01-05 04:02:40.016873,,
gpt-4-1106-preview,0.01553,2024-01-05 04:02:56.529390,,
dall-e-3,0.04,2024-01-05 17:39:02.239055,,
gpt-4-1106-preview,0.01376,2024-01-05 17:39:14.314228,,
gpt-4-1106-preview,0.01209,2024-01-05 18:28:37.594100,,
dall-e-3,0.04,2024-01-05 18:29:16.328599,,
gpt-4-1106-preview,0.01676,2024-01-05 18:29:22.168419,,
gpt-4-1106-preview,0.0120499999999999,2024-01-06 02:24:13.792087,,
apify,0.0121068944106333,2024-01-06 02:25:35.206489,,
gpt-4-1106-preview,0.01727,2024-01-06 02:25:41.001185,,
gpt-4-1106-preview,0.01417,2024-01-06 03:07:12.733426,,
apify,0.0082792838937375,2024-01-06 03:08:53.840903,,
gpt-4-1106-preview,0.02446,2024-01-06 03:09:05.130866,,
dall-e-3,0.04,2024-01-06 03:11:32.736852,,
gpt-4-1106-preview,0.03057,2024-01-06 03:11:44.482952,,
apify,0.0477628992630061,2024-01-07 20:08:02.187041,,
dall-e-3,0.04,2024-01-07 20:08:17.897035,,
apify,0.050679413521712,2024-01-07 20:21:46.644149,,
dall-e-3,0.04,2024-01-07 20:22:03.563888,,
apify,0.0679633827481667,2024-01-07 20:30:31.279273,,
apify,0.047776490201046,2024-01-07 20:31:50.922736,,
gpt-4-1106-preview,0.01957,2024-01-07 20:32:07.700583,,
dall-e-3,0.04,2024-01-07 20:38:51.977010,,
gpt-4-1106-preview,0.01554,2024-01-07 20:39:03.256546,,
dall-e-3,0.04,2024-01-07 20:44:52.297533,,
gpt-4-1106-preview,0.01437,2024-01-07 20:44:58.465721,,
dall-e-3,0.04,2024-01-07 21:43:57.973751,,
dall-e-3,0.04,2024-01-07 21:49:33.610038,,
gpt-4-1106-preview,0.0147,2024-01-07 21:49:39.723029,,
dall-e-3,0.04,2024-01-07 21:54:55.853434,,
gpt-4-1106-preview,0.01485,2024-01-07 21:55:07.564047,,
dall-e-3,0.04,2024-01-07 23:20:40.671004,,
dall-e-3,0.04,2024-01-07 23:23:13.781419,,
dall-e-3,0.04,2024-01-07 23:27:24.007109,,
dall-e-3,0.04,2024-01-07 23:28:41.360710,,
dall-e-3,0.04,2024-01-07 23:35:05.663634,,
dall-e-3,0.04,2024-01-07 23:36:48.976447,,
dall-e-3,0.04,2024-01-07 23:55:26.125494,,
dall-e-3,0.04,2024-01-08 00:00:17.460981,,
gpt-4-1106-preview,0.01497,2024-01-08 00:00:29.797376,,
gpt-4-1106-preview,0.01432,2024-01-08 00:07:51.873819,,
dall-e-3,0.04,2024-01-08 00:16:51.341586,,
gpt-4-1106-preview,0.01321,2024-01-08 00:17:00.336599,,
dall-e-3,0.04,2024-01-08 00:20:47.877177,,
gpt-4-1106-preview,0.01405,2024-01-08 00:20:54.872287,,
dall-e-3,0.04,2024-01-08 00:43:27.383873,,
gpt-4-1106-preview,0.0138399999999999,2024-01-08 00:43:39.773727,,
dall-e-3,0.04,2024-01-08 00:45:34.128636,,
gpt-4-1106-preview,0.0141699999999999,2024-01-08 00:47:40.719717,,
dall-e-3,0.04,2024-01-08 00:48:47.988106,,
gpt-4-1106-preview,0.0137799999999999,2024-01-08 00:49:00.898318,,
dall-e-3,0.04,2024-01-08 00:53:17.896658,,
gpt-4-1106-preview,0.01841,2024-01-08 00:53:31.049488,,
dall-e-3,0.04,2024-01-08 00:56:50.102392,,
gpt-4-1106-preview,0.0231,2024-01-08 00:57:04.521385,,
dall-e-3,0.04,2024-01-08 00:58:03.107184,,
gpt-4-1106-preview,0.01355,2024-01-08 00:58:41.786239,,
gpt-4-1106-preview,0.01852,2024-01-08 01:06:59.068347,,
gpt-4-1106-preview,0.02277,2024-01-08 01:15:09.455393,,
gpt-4-1106-preview,0.01604,2024-01-08 01:17:30.520372,,
gpt-4-1106-preview,0.02273,2024-01-08 01:21:02.904883,,
apify,0.0542884013663199,2024-01-08 01:23:29.274358,,
gpt-4-1106-preview,0.0271399999999999,2024-01-08 01:23:40.870591,,
gpt-4-1106-preview,0.0319399999999999,2024-01-08 01:24:28.151287,,
gpt-4-1106-preview,0.03583,2024-01-08 01:24:45.125035,,
gpt-4-1106-preview,0.03972,2024-01-08 01:24:59.898998,,
dall-e-3,0.04,2024-01-08 01:25:29.899994,,
gpt-4-1106-preview,0.0439,2024-01-08 01:25:47.433132,,
gpt-4-1106-preview,0.0460099999999999,2024-01-08 01:26:33.281343,,
gpt-4-1106-preview,0.01564,2024-01-08 02:14:15.300659,,
apify,0.0127848071225401,2024-01-08 02:16:17.537588,,
gpt-4-1106-preview,0.02323,2024-01-08 02:16:33.728082,,
gpt-4-1106-preview,0.02834,2024-01-08 02:17:14.251287,,
gpt-4-1106-preview,0.03479,2024-01-08 02:17:37.614670,,
apify,0.0485695986255672,2024-01-08 02:19:14.709697,,
gpt-4-1106-preview,0.04092,2024-01-08 02:19:26.051244,,
dall-e-3,0.04,2024-01-08 02:19:54.969836,,
gpt-4-1106-preview,0.04545,2024-01-08 02:20:08.783470,,
gpt-4-1106-preview,0.01538,2024-01-08 18:39:56.065872,,
gpt-4-1106-preview,0.01457,2024-01-08 18:54:19.933092,,
gpt-4-1106-preview,0.01888,2024-01-08 18:54:36.921369,,
gpt-4-1106-preview,0.00221,2024-01-09 15:14:47.575925,,
photoroom,0.15,2024-01-09 15:14:55.038090,,
gpt-4-1106-preview,0.01512,2024-01-09 15:15:06.376926,,
gpt-4-1106-preview,0.00237,2024-01-09 15:26:30.048963,,
photoroom,0.15,2024-01-09 15:26:38.529407,,
gpt-4-1106-preview,0.01596,2024-01-09 15:26:55.157667,,
gpt-4-1106-preview,0.02096,2024-01-09 15:28:55.671346,,
gpt-4-1106-preview,0.02762,2024-01-09 15:34:12.936898,,
gpt-4-1106-preview,0.0309699999999999,2024-01-11 01:48:41.196728,,
gpt-4-1106-preview,0.01289,2024-01-11 01:51:29.391178,,
apify,0.00541350490781,2024-01-11 01:53:27.426095,,
apify,0.0258555294470075,2024-01-11 01:54:10.816140,,
gpt-4-1106-preview,0.02011,2024-01-11 01:54:22.340971,,
apify,0.0057473047740409,2024-01-11 01:56:15.888964,,
gpt-4-1106-preview,0.0273399999999999,2024-01-11 01:56:32.475238,,
gpt-4-1106-preview,0.03495,2024-01-11 01:59:18.885121,,
dall-e-3,0.04,2024-01-11 02:00:09.476630,,
gpt-4-1106-preview,0.04093,2024-01-11 02:00:22.676868,,
dall-e-3,0.04,2024-01-11 02:01:47.642951,,
gpt-4-1106-preview,0.04595,2024-01-11 02:02:01.019911,,
dall-e-3,0.04,2024-01-11 02:03:00.319982,,
gpt-4-1106-preview,0.05171,2024-01-11 02:03:12.923035,,
dall-e-3,0.04,2024-01-11 02:04:20.645775,,
gpt-4-1106-preview,0.0562299999999999,2024-01-11 02:04:33.578010,,
dall-e-3,0.04,2024-01-11 02:05:29.178294,,
gpt-4-1106-preview,0.06117,2024-01-11 02:05:37.338662,,
gpt-4-1106-preview,0.0042699999999999,2024-01-11 02:06:33.360709,,
gpt-4-1106-preview,0.06757,2024-01-11 02:06:44.591196,,
gpt-4-1106-preview,0.07138,2024-01-11 02:07:29.639374,,
gpt-4-1106-preview,0.07263,2024-01-11 02:08:16.757158,,
gpt-4-1106-preview,0.00377,2024-01-11 02:08:56.364551,,
gpt-4-1106-preview,0.07085,2024-01-11 02:09:07.723805,,
gpt-4-1106-preview,0.01448,2024-01-13 00:22:17.910655,,
gpt-4-1106-preview,0.01539,2024-01-13 00:43:07.889338,,luis_santiago
gpt-4-1106-preview,0.0151099999999999,2024-01-13 00:47:37.206081,,h1
gpt-4-1106-preview,0.01541,2024-01-13 00:51:49.702064,,h1
gpt-4-1106-preview,0.01376,2024-01-13 00:55:56.111472,,h1
apify website screaper,0.0052937307618657,2024-01-13 00:56:27.042307,,h1
gpt-4-1106-preview,0.0161,2024-01-13 00:59:07.205662,,h1
apify website screaper,0.0052942725425031,2024-01-13 00:59:29.340059,,h1
apify instagram scraper,0.0355186988138092,2024-01-13 14:40:28.052680,,h1
gpt-4-vision-preview,0.02424,2024-01-13 14:40:34.757162,,h1
gpt-4-vision-preview,0.03085,2024-01-13 14:40:50.970876,,h1
apify instagram scraper,0.0478259704724335,2024-01-13 15:05:22.072663,,h1
apify website screaper,0.008250644611241,2024-01-13 15:15:30.210578,,h1
apify instagram scraper,0.0434359752142263,2024-01-13 15:17:26.839400,,h1
gpt-4-vision-preview,0.0259,2024-01-13 15:17:35.538756,,h1
apify website screaper,0.005323631259746,2024-01-13 15:30:03.458792,,h1
apify instagram scraper,0.030092717351266,2024-01-13 15:35:38.510710,,h1
gpt-4-1106-preview_function,0.00165,2024-01-13 15:35:39.147112,,h1
gpt-4-1106-preview,0.01952,2024-01-13 15:36:05.944235,,h1
apify website screaper,0.0056598791761779,2024-01-13 15:39:16.942280,,h1
gpt-4-1106-preview_function,0.01011,2024-01-13 15:39:17.330547,,h1
apify instagram scraper,0.0365862874613619,2024-01-13 15:40:10.893026,,h1
gpt-4-vision-preview,0.02113,2024-01-13 15:40:17.428074,,h1
gpt-4-vision-preview,0.02623,2024-01-13 15:40:27.092661,,h1
gpt-4-1106-preview_function,0.0174,2024-01-13 15:40:27.101400,,h1
gpt-4-1106-preview,0.01844,2024-01-13 15:40:48.856575,,h1
apify website screaper,0.0075062601328922,2024-01-13 15:41:56.384973,,h1
gpt-4-1106-preview_function,0.01003,2024-01-13 15:41:56.755002,,h1
apify instagram scraper,0.046341772455722,2024-01-13 15:43:09.968861,,h1
gpt-4-vision-preview,0.02623,2024-01-13 15:43:27.455081,,h1
gpt-4-1106-preview_function,0.0109499999999999,2024-01-13 15:43:27.463333,,h1
gpt-4-1106-preview,0.0173,2024-01-13 15:43:43.853700,,h1
gpt-3.5-turbo-1106,0.00534,2024-01-13 15:43:45.133954,,h1
apify website screaper,0.0064586973521494,2024-01-13 15:48:29.311053,,h1
gpt-4-1106-preview_function,0.01003,2024-01-13 15:48:29.688389,,h1
apify instagram scraper,0.0455238958459082,2024-01-13 15:49:47.426743,,h1
gpt-4-vision-preview,0.0255899999999999,2024-01-13 15:50:03.982767,,h1
gpt-4-vision-preview,0.02583,2024-01-13 15:50:13.022886,,h1
gpt-4-vision-preview,0.02591,2024-01-13 15:50:22.959124,,h1
gpt-4-vision-preview,0.02564,2024-01-13 15:50:34.935437,,h1
gpt-4-vision-preview,0.02605,2024-01-13 15:50:45.793647,,h1
gpt-4-vision-preview,0.02566,2024-01-13 15:51:02.385451,,h1
gpt-4-vision-preview,0.02592,2024-01-13 15:51:15.590978,,h1
gpt-4-1106-preview_function,0.0678,2024-01-13 15:51:15.602554,,h1
gpt-4-1106-preview,0.0158,2024-01-13 15:51:32.154710,,h1
gpt-3.5-turbo-1106,0.00541,2024-01-13 15:51:33.543495,,h1
apify instagram scraper,0.0555259191379795,2024-01-13 15:54:48.988057,,h1
gpt-4-1106-preview_function,0.0016099999999999,2024-01-13 15:54:49.728781,,h1
gpt-4-1106-preview,0.0152,2024-01-13 15:55:00.819295,,h1
gpt-4-1106-preview,0.00466,2024-01-13 15:55:01.788972,,h1
apify instagram scraper,0.035144821974251,2024-01-13 15:56:58.672751,,h1
gpt-4-vision-preview,0.02623,2024-01-13 15:57:09.583479,,h1
gpt-4-1106-preview_function,0.0110499999999999,2024-01-13 15:57:09.944813,,h1
gpt-4-1106-preview,0.01715,2024-01-13 15:57:20.985972,,h1
gpt-4-1106-preview,0.01422,2024-01-13 15:57:35.221361,,h1
apify instagram scraper,0.0487837009116179,2024-01-13 16:04:40.890538,,h1
gpt-4-vision-preview,0.0155199999999999,2024-01-13 16:04:47.683216,,h1
gpt-4-1106-preview_function,0.00398,2024-01-13 16:04:47.999272,,h1
gpt-4-1106-preview,0.01319,2024-01-13 16:04:59.715955,,h1
gpt-4-1106-preview,0.0109,2024-01-13 16:05:10.065734,,h1
apify instagram scraper,0.0492652393303811,2024-01-13 16:06:55.403577,,h1
gpt-4-vision-preview,0.02623,2024-01-13 16:07:09.056762,,h1
gpt-4-vision-preview,0.02029,2024-01-13 16:07:18.071336,,h1
gpt-4-1106-preview_function,0.01656,2024-01-13 16:07:18.081141,,h1
gpt-4-1106-preview,0.023,2024-01-13 16:07:57.511087,,h1
gpt-4-1106-preview,0.0191,2024-01-13 16:08:21.049935,,h1
apify website screaper,0.0053092749658624,2024-01-13 16:09:30.109361,,h1
gpt-4-1106-preview_function,0.0099499999999999,2024-01-13 16:09:30.119070,,h1
gpt-4-1106-preview,0.03176,2024-01-13 16:09:42.723755,,h1
gpt-4-1106-preview,0.0174999999999999,2024-01-13 16:10:02.727810,,h1
gpt-4-1106-preview,0.04271,2024-01-13 16:10:44.161129,,h1
gpt-4-1106-preview,0.0181,2024-01-13 16:11:07.774917,,h1
dall-e-3,0.04,2024-01-13 16:13:30.631719,,h1
gpt-4-1106-preview_function,0.00289,2024-01-13 16:14:32.059763,,h1
gpt-4-1106-preview,0.04987,2024-01-13 16:14:48.079382,,h1
gpt-4-1106-preview,0.0106,2024-01-13 16:14:57.354147,,h1
gpt-4-1106-preview,0.0161,2024-01-13 16:24:13.747844,,sarah_artemiza
gpt-4-1106-preview,0.01616,2024-01-13 16:24:23.605424,,sarah_artemiza
apify website screaper,0.0104998732026351,2024-01-13 16:25:59.754400,,sarah_artemiza
gpt-4-1106-preview_function,0.0199799999999999,2024-01-13 16:25:59.765056,,sarah_artemiza
gpt-4-1106-preview,0.0229,2024-01-13 16:26:11.075623,,sarah_artemiza
gpt-4-1106-preview,0.01496,2024-01-13 16:26:27.614297,,sarah_artemiza
gpt-4-1106-preview,0.0131599999999999,2024-01-13 17:14:11.245890,,luiss_santiagooo
gpt-4-1106-preview,0.01083,2024-01-13 17:14:23.127348,,luiss_santiagooo
apify website screaper,0.0124340468224783,2024-01-13 17:18:30.640268,,luiss_santiagooo
gpt-4-1106-preview_function,0.01994,2024-01-13 17:18:30.653158,,luiss_santiagooo
apify website screaper,0.0146787895143893,2024-01-13 17:28:18.705859,,luiss_santiagooo
gpt-4-1106-preview_function,0.02002,2024-01-13 17:28:19.080597,,luiss_santiagooo
gpt-4-1106-preview,0.0141,2024-01-13 17:28:30.273705,,luiss_santiagooo
gpt-4-1106-preview,0.012,2024-01-13 17:28:43.387975,,luiss_santiagooo
apify website screaper,0.0071925821760164,2024-01-13 17:29:55.267375,,luiss_santiagooo
gpt-4-1106-preview_function,0.0199,2024-01-13 17:29:55.635900,,luiss_santiagooo
apify website screaper,0.0145240817614247,2024-01-13 17:40:05.973827,,luiss_santiagooo
gpt-4-1106-preview_function,0.01994,2024-01-13 17:40:06.358458,,luiss_santiagooo
gpt-4-1106-preview,0.01602,2024-01-13 17:40:22.942612,,luiss_santiagooo
gpt-4-1106-preview,0.01402,2024-01-13 17:40:30.168898,,luiss_santiagooo
apify website screaper,0.0084168888273768,2024-01-13 17:42:18.320757,,luiss_santiagooo
gpt-4-1106-preview_function,0.01982,2024-01-13 17:42:18.712753,,luiss_santiagooo
gpt-4-1106-preview,0.01485,2024-01-13 17:42:35.068076,,luiss_santiagooo
gpt-4-1106-preview,0.01261,2024-01-13 17:42:47.387805,,luiss_santiagooo
gpt-4-vision-preview,0.01985,2024-01-13 17:43:16.087839,,luiss_santiagooo
gpt-4-1106-preview_function,0.00259,2024-01-13 17:43:16.096152,,luiss_santiagooo
gpt-4-1106-preview,0.02154,2024-01-13 17:43:32.927138,,luiss_santiagooo
gpt-4-1106-preview,0.01118,2024-01-13 17:43:44.432610,,luiss_santiagooo
gpt-4-1106-preview,0.00218,2024-01-13 17:44:02.492819,,luiss_santiagooo
photoroom,0.15,2024-01-13 17:44:45.910857,,luiss_santiagooo
gpt-4-1106-preview_function,0.00258,2024-01-13 17:44:45.931529,,luiss_santiagooo
gpt-4-1106-preview,0.02466,2024-01-13 17:44:51.882950,,luiss_santiagooo
gpt-4-1106-preview,0.00892,2024-01-13 17:45:01.399271,,luiss_santiagooo
gpt-4-1106-preview,0.01891,2024-01-13 17:49:51.314409,,luiss_santiagooo
gpt-4-1106-preview,0.00876,2024-01-13 17:49:58.073005,,luiss_santiagooo
